Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Outside,,0,left,all,714027,172.656,170.228,714027,172.656,170.228
Outside,,0,right,all,68791,151.757,381.577,68791,151.757,381.577
root,root,997,left,all,3952725,156.528,600.894,3952725,156.528,600.894
root,root,997,right,all,2990990,148.493,549.031,2990990,148.493,549.031
Basic cell groups and regions,grey,8,left,all,3561092,156.864,608.641,3561092,156.864,608.641
Basic cell groups and regions,grey,8,right,all,2645770,150.45,557.857,2645770,150.45,557.857
Cerebrum,CH,567,left,all,2229738,157.655,587.453,2229738,157.655,587.453
Cerebrum,CH,567,right,all,1615248,152.523,521.343,1615248,152.523,521.343
Cerebral cortex,CTX,688,left,all,1869888,164.61,588.465,1869888,164.61,588.465
Cerebral cortex,CTX,688,right,all,1288888,161.198,522.615,1288888,161.198,522.615
Cortical plate,CTXpl,695,left,all,1794458,166.011,588.446,1794458,166.011,588.446
Cortical plate,CTXpl,695,right,all,1213754,161.281,525.349,1213754,161.281,525.349
Isocortex,Isocortex,315,left,all,1208916,167.823,608.207,1208916,167.823,608.207
Isocortex,Isocortex,315,right,all,706540,163.707,548.21,706540,163.707,548.21
Frontal pole/ cerebral cortex,FRP,184,left,all,7646,189.571,474.832,7646,189.571,474.832
Frontal pole/ cerebral cortex,FRP,184,right,all,5880,170.58,429.234,5880,170.58,429.234
Frontal pole/ layer 1,FRP1,68,left,all,978,148.704,238.741,978,148.704,238.741
Frontal pole/ layer 1,FRP1,68,right,all,433,169.52,206.949,433,169.52,206.949
Frontal pole/ layer 2/3,FRP2/3,667,left,all,1726,181.452,376.367,1726,181.452,376.367
Frontal pole/ layer 2/3,FRP2/3,667,right,all,1255,154.464,314.657,1255,154.464,314.657
Frontal pole/ layer 5,FRP5,526157192,left,all,3741,201.464,514.713,3741,201.464,514.713
Frontal pole/ layer 5,FRP5,526157192,right,all,3412,163.877,452.929,3412,163.877,452.929
Frontal pole/ layer 6a,FRP6a,526157196,left,all,1187,197.385,685.318,1187,197.385,685.318
Frontal pole/ layer 6a,FRP6a,526157196,right,all,772,227.59,633.571,772,227.59,633.571
Frontal pole/ layer 6b,FRP6b,526322264,left,all,14,204.766,604.071,14,204.766,604.071
Frontal pole/ layer 6b,FRP6b,526322264,right,all,8,113.133,610.125,8,113.133,610.125
Somatomotor areas,MO,500,left,all,210232,182.178,590.604,210232,182.178,590.604
Somatomotor areas,MO,500,right,all,129337,173.299,546.233,129337,173.299,546.233
Primary motor area,MOp,985,left,all,113524,174.995,608.458,113524,174.995,608.458
Primary motor area,MOp,985,right,all,71322,176.985,560.492,71322,176.985,560.492
Primary motor area/ Layer 1,MOp1,320,left,all,8911,182.534,475.551,8911,182.534,475.551
Primary motor area/ Layer 1,MOp1,320,right,all,174,2004.43,464.351,174,2004.43,464.351
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,33423,201.298,580.159,33423,201.298,580.159
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,14472,149.177,550.463,14472,149.177,550.463
Primary motor area/ Layer 5,MOp5,648,left,all,41721,178.806,651.084,41721,178.806,651.084
Primary motor area/ Layer 5,MOp5,648,right,all,25489,173.11,574.243,25489,173.11,574.243
Primary motor area/ Layer 6a,MOp6a,844,left,all,28107,138.729,623.69,28107,138.729,623.69
