Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Outside,,0,left,all,144236,203.624,912.932,144236,203.624,912.932
Outside,,0,right,all,213460,181.452,789.053,213460,181.452,789.053
root,root,997,left,all,3311228,120.93,1110.25,3311228,120.93,1110.25
root,root,997,right,all,3260738,103.328,989.816,3260738,103.328,989.816
Basic cell groups and regions,grey,8,left,all,2876185,121.23,1121.4,2876185,121.23,1121.4
Basic cell groups and regions,grey,8,right,all,2763936,102.152,1004.24,2763936,102.152,1004.24
Cerebrum,CH,567,left,all,1597572,116.744,1000.14,1597572,116.744,1000.14
Cerebrum,CH,567,right,all,1463738,96.7432,903.927,1463738,96.7432,903.927
Cerebral cortex,CTX,688,left,all,1211782,127.713,1008.84,1211782,127.713,1008.84
Cerebral cortex,CTX,688,right,all,1034430,105.42,902.566,1034430,105.42,902.566
Cortical plate,CTXpl,695,left,all,1164357,128.124,1008.55,1164357,128.124,1008.55
Cortical plate,CTXpl,695,right,all,996756,105.922,904.912,996756,105.922,904.912
Isocortex,Isocortex,315,left,all,717037,126.674,1006.89,717037,126.674,1006.89
Isocortex,Isocortex,315,right,all,561847,102.467,904.036,561847,102.467,904.036
Frontal pole/ cerebral cortex,FRP,184,left,all,4637,107.368,784.771,4637,107.368,784.771
Frontal pole/ cerebral cortex,FRP,184,right,all,4068,103.672,778.56,4068,103.672,778.56
Frontal pole/ layer 1,FRP1,68,left,all,1301,107.186,649.749,1301,107.186,649.749
Frontal pole/ layer 1,FRP1,68,right,all,1184,98.704,631.182,1184,98.704,631.182
Frontal pole/ layer 2/3,FRP2/3,667,left,all,1133,86.3078,711.394,1133,86.3078,711.394
Frontal pole/ layer 2/3,FRP2/3,667,right,all,1044,91.074,725.703,1044,91.074,725.703
Frontal pole/ layer 5,FRP5,526157192,left,all,1704,126.193,911.632,1704,126.193,911.632
