Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Outside,,0,left,all,111131,212.936,770.889,111131,212.936,770.889
Outside,,0,right,all,178873,196.564,688.695,178873,196.564,688.695
root,root,997,left,all,3990970,200.382,1001.41,3990970,200.382,1001.41
root,root,997,right,all,3550298,183.29,863.066,3550298,183.29,863.066
Basic cell groups and regions,grey,8,left,all,3644228,202.769,1011.37,3644228,202.769,1011.37
Basic cell groups and regions,grey,8,right,all,3245644,185.748,871.846,3245644,185.748,871.846
Cerebrum,CH,567,left,all,2393274,214.77,988.257,2393274,214.77,988.257
Cerebrum,CH,567,right,all,2150079,190.168,829.26,2150079,190.168,829.26
Cerebral cortex,CTX,688,left,all,1953654,233.187,990.858,1953654,233.187,990.858
Cerebral cortex,CTX,688,right,all,1795016,203.603,831.619,1795016,203.603,831.619
Cortical plate,CTXpl,695,left,all,1871128,234.653,993.354,1871128,234.653,993.354
Cortical plate,CTXpl,695,right,all,1724440,205.041,834.567,1724440,205.041,834.567
Isocortex,Isocortex,315,left,all,1050820,241.001,989.311,1050820,241.001,989.311
Isocortex,Isocortex,315,right,all,1108918,209.904,831.893,1108918,209.904,831.893
Frontal pole/ cerebral cortex,FRP,184,left,all,10769,260.087,946.477,10769,260.087,946.477
Frontal pole/ cerebral cortex,FRP,184,right,all,11236,202.813,818.364,11236,202.813,818.364
Frontal pole/ layer 1,FRP1,68,left,all,1857,190.132,739.137,1857,190.132,739.137
Frontal pole/ layer 1,FRP1,68,right,all,1967,164.478,669.778,1967,164.478,669.778
Frontal pole/ layer 2/3,FRP2/3,667,left,all,3089,250.093,927.235,3089,250.093,927.235
Frontal pole/ layer 2/3,FRP2/3,667,right,all,3446,186.489,779.843,3446,186.489,779.843
Frontal pole/ layer 5,FRP5,526157192,left,all,4434,312.476,1042.86,4434,312.476,1042.86
Frontal pole/ layer 5,FRP5,526157192,right,all,4571,241.564,909.832,4571,241.564,909.832
Frontal pole/ layer 6a,FRP6a,526157196,left,all,1377,209.138,959.664,1377,209.138,959.664
Frontal pole/ layer 6a,FRP6a,526157196,right,all,1249,166.594,824.258,1249,166.594,824.258
Frontal pole/ layer 6b,FRP6b,526322264,left,all,12,147.036,857.167,12,147.036,857.167
Frontal pole/ layer 6b,FRP6b,526322264,right,all,3,124.027,669.667,3,124.027,669.667
Somatomotor areas,MO,500,left,all,212824,258.151,959.17,212824,258.151,959.17
Somatomotor areas,MO,500,right,all,223041,230.56,853.687,223041,230.56,853.687
Primary motor area,MOp,985,left,all,100644,253.231,961.005,100644,253.231,961.005
Primary motor area,MOp,985,right,all,110783,233.592,838.779,110783,233.592,838.779
Primary motor area/ Layer 1,MOp1,320,left,all,4990,196.116,806.214,4990,196.116,806.214
Primary motor area/ Layer 1,MOp1,320,right,all,7944,199.948,714.059,7944,199.948,714.059
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,25317,258.088,976.642,25317,258.088,976.642
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,37080,235.799,822.425,37080,235.799,822.425
Primary motor area/ Layer 5,MOp5,648,left,all,33414,284.153,998.303,33414,284.153,998.303
Primary motor area/ Layer 5,MOp5,648,right,all,33098,277.04,916.321,33098,277.04,916.321
Primary motor area/ Layer 6a,MOp6a,844,left,all,35067,232.005,940.914,35067,232.005,940.914
Primary motor area/ Layer 6a,MOp6a,844,right,all,31149,197.223,809.862,31149,197.223,809.862
Primary motor area/ Layer 6b,MOp6b,882,left,all,1856,184.889,871.967,1856,184.889,871.967
Primary motor area/ Layer 6b,MOp6b,882,right,all,1512,154.39,793.394,1512,154.39,793.394
Secondary motor area,MOs,993,left,all,112180,262.565,957.523,112180,262.565,957.523
Secondary motor area,MOs,993,right,all,112258,227.568,868.399,112258,227.568,868.399
Secondary motor area/ layer 1,MOs1,656,left,all,7568,192.024,786.947,7568,192.024,786.947
Secondary motor area/ layer 1,MOs1,656,right,all,10404,193.892,782.74,10404,193.892,782.74
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,26981,270.947,977.866,26981,270.947,977.866
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,33574,213.093,850.973,33574,213.093,850.973
Secondary motor area/ layer 5,MOs5,767,left,all,46386,300.952,1008.29,46386,300.952,1008.29
Secondary motor area/ layer 5,MOs5,767,right,all,43050,267.308,929.097,43050,267.308,929.097
Secondary motor area/ layer 6a,MOs6a,1021,left,all,30358,216.249,907.44,30358,216.249,907.44
Secondary motor area/ layer 6a,MOs6a,1021,right,all,24811,193.403,823.984,24811,193.403,823.984
Secondary motor area/ layer 6b,MOs6b,1085,left,all,887,187.139,853.352,887,187.139,853.352
Secondary motor area/ layer 6b,MOs6b,1085,right,all,419,163.763,785.296,419,163.763,785.296
Somatosensory areas,SS,453,left,all,291730,263.423,1091.81,291730,263.423,1091.81
Somatosensory areas,SS,453,right,all,326096,208.94,859.572,326096,208.94,859.572
Primary somatosensory area,SSp,322,left,all,180336,252.541,1052.1,180336,252.541,1052.1
Primary somatosensory area,SSp,322,right,all,226873,213.655,861.676,226873,213.655,861.676
Primary somatosensory area/ nose,SSp-n,353,left,all,28291,287.708,1195.12,28291,287.708,1195.12
Primary somatosensory area/ nose,SSp-n,353,right,all,30844,212.178,926.654,30844,212.178,926.654
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,left,all,1051,249.318,921.21,1051,249.318,921.21
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,right,all,4347,185.821,785.745,4347,185.821,785.745
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,left,all,3898,238.189,1055.43,3898,238.189,1055.43
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,right,all,7592,190.648,923.238,7592,190.648,923.238
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,left,all,5991,233.059,1102.96,5991,233.059,1102.96
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,right,all,5392,252.032,1035.24,5392,252.032,1035.24
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,left,all,7240,299.457,1254.8,7240,299.457,1254.8
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,right,all,5432,280.073,1060.15,5432,280.073,1060.15
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,9436,342.613,1303.71,9436,342.613,1303.71
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,7662,178.823,850.375,7662,178.823,850.375
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,675,224.942,1088.29,675,224.942,1088.29
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,419,92.5823,717.21,419,92.5823,717.21
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,36068,261.094,1074.45,36068,261.094,1074.45
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,55248,230.555,892.37,55248,230.555,892.37
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,4,187.09,491.75,4,187.09,491.75
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,2838,175.334,719.264,2838,175.334,719.264
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,576,221.276,869.597,576,221.276,869.597
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,9798,194.642,832.8,9798,194.642,832.8
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,3195,236.495,955.577,3195,236.495,955.577
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,13771,219.346,888.271,13771,219.346,888.271
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,11061,241.18,1048.05,11061,241.18,1048.05
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,13560,284.07,977.534,13560,284.07,977.534
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,left,all,18935,277.938,1118.35,18935,277.938,1118.35
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,right,all,14001,228.277,896.949,14001,228.277,896.949
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,left,all,2297,262.467,1057.46,2297,262.467,1057.46
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,right,all,1280,206.456,823.964,1280,206.456,823.964
Primary somatosensory area/ lower limb,SSp-ll,337,left,all,10267,214.102,956.769,10267,214.102,956.769
Primary somatosensory area/ lower limb,SSp-ll,337,right,all,12907,215.969,926.738,12907,215.969,926.738
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,left,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,right,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,left,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,right,all,27,257.5,785.926,27,257.5,785.926
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,left,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,right,all,375,189.082,764.395,375,189.082,764.395
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,left,all,1018,199.027,811.684,1018,199.027,811.684
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,right,all,4699,178.782,840.224,4699,178.782,840.224
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,left,all,8325,207.553,958.566,8325,207.553,958.566
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,right,all,7143,240.9,988.22,7143,240.9,988.22
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,left,all,924,289.715,1100.43,924,289.715,1100.43
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,right,all,663,224.443,975.068,663,224.443,975.068
Primary somatosensory area/ mouth,SSp-m,345,left,all,72613,241.359,1008.09,72613,241.359,1008.09
Primary somatosensory area/ mouth,SSp-m,345,right,all,80990,208.846,808.728,80990,208.846,808.728
