Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Outside,,0,left,all,66781,315.772,984.582,66781,315.772,984.582
Outside,,0,right,all,76011,284.688,881.883,76011,284.688,881.883
root,root,997,left,all,2455979,329.962,1168.23,2455979,329.962,1168.23
root,root,997,right,all,2065387,294.878,1051.7,2065387,294.878,1051.7
Basic cell groups and regions,grey,8,left,all,2287539,332.987,1176.25,2287539,332.987,1176.25
Basic cell groups and regions,grey,8,right,all,1912224,296.763,1058.79,1912224,296.763,1058.79
Cerebrum,CH,567,left,all,1564006,336.761,1127.59,1564006,336.761,1127.59
Cerebrum,CH,567,right,all,1286990,296.543,999.27,1286990,296.543,999.27
Cerebral cortex,CTX,688,left,all,1365927,347.692,1114.64,1365927,347.692,1114.64
Cerebral cortex,CTX,688,right,all,1131355,304.467,988.408,1131355,304.467,988.408
Cortical plate,CTXpl,695,left,all,1308148,347.915,1116.47,1308148,347.915,1116.47
Cortical plate,CTXpl,695,right,all,1085907,306.083,992.89,1085907,306.083,992.89
Isocortex,Isocortex,315,left,all,847107,342.753,1103.86,847107,342.753,1103.86
Isocortex,Isocortex,315,right,all,666353,296.372,966.351,666353,296.372,966.351
Frontal pole/ cerebral cortex,FRP,184,left,all,7729,309.033,938.654,7729,309.033,938.654
Frontal pole/ cerebral cortex,FRP,184,right,all,6940,282.373,871.473,6940,282.373,871.473
Frontal pole/ layer 1,FRP1,68,left,all,1567,261.031,843.508,1567,261.031,843.508
Frontal pole/ layer 1,FRP1,68,right,all,1214,255.39,792.709,1214,255.39,792.709
Frontal pole/ layer 2/3,FRP2/3,667,left,all,2149,293.124,968.18,2149,293.124,968.18
Frontal pole/ layer 2/3,FRP2/3,667,right,all,2165,270.077,861.158,2165,270.077,861.158
Frontal pole/ layer 5,FRP5,526157192,left,all,3249,355.634,988.351,3249,355.634,988.351
Frontal pole/ layer 5,FRP5,526157192,right,all,2953,313.248,932.018,2953,313.248,932.018
Frontal pole/ layer 6a,FRP6a,526157196,left,all,763,254.008,839.347,763,254.008,839.347
Frontal pole/ layer 6a,FRP6a,526157196,right,all,608,230.077,771.41,608,230.077,771.41
Frontal pole/ layer 6b,FRP6b,526322264,left,all,1,290.49,891,1,290.49,891
Frontal pole/ layer 6b,FRP6b,526322264,right,all,0,0,0,0,0,0
Somatomotor areas,MO,500,left,all,178142,354.974,1113.88,178142,354.974,1113.88
Somatomotor areas,MO,500,right,all,148564,313.705,979.356,148564,313.705,979.356
Primary motor area,MOp,985,left,all,89994,374.81,1197.17,89994,374.81,1197.17
Primary motor area,MOp,985,right,all,69213,320.033,1009.98,69213,320.033,1009.98
Primary motor area/ Layer 1,MOp1,320,left,all,5526,318.65,1009.67,5526,318.65,1009.67
Primary motor area/ Layer 1,MOp1,320,right,all,4845,263.729,817.182,4845,263.729,817.182
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,30642,353.909,1140.6,30642,353.909,1140.6
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,23570,311.032,968.605,23570,311.032,968.605
Primary motor area/ Layer 5,MOp5,648,left,all,32795,433.039,1309.42,32795,433.039,1309.42
Primary motor area/ Layer 5,MOp5,648,right,all,23523,356.798,1098.73,23523,356.798,1098.73
Primary motor area/ Layer 6a,MOp6a,844,left,all,20278,331.609,1153.02,20278,331.609,1153.02
Primary motor area/ Layer 6a,MOp6a,844,right,all,16790,298.673,999.928,16790,298.673,999.928
Primary motor area/ Layer 6b,MOp6b,882,left,all,753,264.817,1174.63,753,264.817,1174.63
Primary motor area/ Layer 6b,MOp6b,882,right,all,485,276.263,990.085,485,276.263,990.085
Secondary motor area,MOs,993,left,all,88148,334.724,1028.85,88148,334.724,1028.85
Secondary motor area,MOs,993,right,all,79351,308.185,952.645,79351,308.185,952.645
Secondary motor area/ layer 1,MOs1,656,left,all,8391,303.006,943.441,8391,303.006,943.441
Secondary motor area/ layer 1,MOs1,656,right,all,7914,264.428,822.165,7914,264.428,822.165
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,25057,297.834,950.93,25057,297.834,950.93
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,22149,279.988,872.978,22149,279.988,872.978
Secondary motor area/ layer 5,MOs5,767,left,all,36514,378.652,1098.41,36514,378.652,1098.41
Secondary motor area/ layer 5,MOs5,767,right,all,31488,344.69,1026.25,31488,344.69,1026.25
Secondary motor area/ layer 6a,MOs6a,1021,left,all,17964,312.219,1036.32,17964,312.219,1036.32
Secondary motor area/ layer 6a,MOs6a,1021,right,all,17648,298.212,979.742,17648,298.212,979.742
Secondary motor area/ layer 6b,MOs6b,1085,left,all,222,293.051,1007.29,222,293.051,1007.29
Secondary motor area/ layer 6b,MOs6b,1085,right,all,152,291.179,961.717,152,291.179,961.717
Somatosensory areas,SS,453,left,all,263908,357.048,1162.52,263908,357.048,1162.52
Somatosensory areas,SS,453,right,all,184605,304.11,1022.03,184605,304.11,1022.03
Primary somatosensory area,SSp,322,left,all,175853,355.622,1181.93,175853,355.622,1181.93
Primary somatosensory area,SSp,322,right,all,126018,309.432,1034.01,126018,309.432,1034.01
Primary somatosensory area/ nose,SSp-n,353,left,all,26044,354.305,1159.66,26044,354.305,1159.66
Primary somatosensory area/ nose,SSp-n,353,right,all,18445,317.508,1090.67,18445,317.508,1090.67
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,left,all,3510,294.94,939.427,3510,294.94,939.427
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,right,all,2479,269.926,887.08,2479,269.926,887.08
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,left,all,6165,317.065,1138.84,6165,317.065,1138.84
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,right,all,4472,289.989,1058.39,4472,289.989,1058.39
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,left,all,4820,417.85,1321.02,4820,417.85,1321.02
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,right,all,3012,337.716,1212.91,3012,337.716,1212.91
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,left,all,5818,419.473,1295.22,5818,419.473,1295.22
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,right,all,3698,423.438,1299.07,3698,423.438,1299.07
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,5622,312.486,1042.75,5622,312.486,1042.75
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,4617,271.821,989.074,4617,271.821,989.074
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,109,240.831,1088.69,109,240.831,1088.69
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,167,313.68,966.174,167,313.68,966.174
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,39685,333.472,1052.54,39685,333.472,1052.54
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,27082,285.69,894.926,27082,285.69,894.926
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,1205,277.008,829.305,1205,277.008,829.305
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,1352,243.518,778.581,1352,243.518,778.581
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,5179,287.628,947.182,5179,287.628,947.182
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,right,all,4101,254.759,855.353,4101,254.759,855.353
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,left,all,8116,307.59,1037.69,8116,307.59,1037.69
Primary somatosensory area/ barrel field/ layer 4,SSp-bfd4,1047,right,all,4998,271.252,901.227,4998,271.252,901.227
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,left,all,11404,370.704,1128.6,11404,370.704,1128.6
Primary somatosensory area/ barrel field/ layer 5,SSp-bfd5,1070,right,all,7108,335.567,986.611,7108,335.567,986.611
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,left,all,12772,337.985,1054.04,12772,337.985,1054.04
Primary somatosensory area/ barrel field/ layer 6a,SSp-bfd6a,1038,right,all,8531,274.645,858.912,8531,274.645,858.912
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,left,all,1009,366.465,1100.66,1009,366.465,1100.66
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,right,all,992,281.378,838.109,992,281.378,838.109
Primary somatosensory area/ lower limb,SSp-ll,337,left,all,10160,323.676,984.625,10160,323.676,984.625
Primary somatosensory area/ lower limb,SSp-ll,337,right,all,8565,296.501,960.344,8565,296.501,960.344
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,left,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,right,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,left,all,0,0,0,0,0,0
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,right,all,32,267.797,917.688,32,267.797,917.688
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,left,all,157,251.223,791.038,157,251.223,791.038
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,right,all,376,246.588,860.449,376,246.588,860.449
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,left,all,3141,298.132,942.139,3141,298.132,942.139
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,right,all,2958,274.323,941.673,2958,274.323,941.673
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,left,all,6315,339.235,1013.92,6315,339.235,1013.92
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,right,all,4844,314.51,983.934,4844,314.51,983.934
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,left,all,547,311.522,945.899,547,311.522,945.899
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,right,all,355,291.003,903.668,355,291.003,903.668
Primary somatosensory area/ mouth,SSp-m,345,left,all,65342,386.426,1334.76,65342,386.426,1334.76
Primary somatosensory area/ mouth,SSp-m,345,right,all,44786,327.546,1118.8,44786,327.546,1118.8
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,left,all,7236,362.943,1116.94,7236,362.943,1116.94
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,right,all,4567,273.94,871.573,4567,273.94,871.573
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,left,all,18969,335.205,1277.77,18969,335.205,1277.77
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,right,all,12796,289.312,1065.8,12796,289.312,1065.8
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,left,all,11766,495.275,1541.83,11766,495.275,1541.83
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,right,all,7767,408.395,1277.59,7767,408.395,1277.59
