Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Outside,,0,left,all,203482,151.339,739.452,203482,151.339,739.452
Outside,,0,right,all,225233,151.473,774.607,225233,151.473,774.607
root,root,997,left,all,3297550,128.144,633.446,3297550,128.144,633.446
root,root,997,right,all,2846685,119.467,596.266,2846685,119.467,596.266
Basic cell groups and regions,grey,8,left,all,2995455,128.989,635.464,2995455,128.989,635.464
Basic cell groups and regions,grey,8,right,all,2579565,120.256,598.872,2579565,120.256,598.872
Cerebrum,CH,567,left,all,1937929,129.621,576.543,1937929,129.621,576.543
Cerebrum,CH,567,right,all,1603016,121.407,510.252,1603016,121.407,510.252
Cerebral cortex,CTX,688,left,all,1702804,134.571,583.752,1702804,134.571,583.752
Cerebral cortex,CTX,688,right,all,1414743,125.479,515.351,1414743,125.479,515.351
Cortical plate,CTXpl,695,left,all,1626448,134.664,582.955,1626448,134.664,582.955
Cortical plate,CTXpl,695,right,all,1356872,125.872,516.227,1356872,125.872,516.227
Isocortex,Isocortex,315,left,all,1035171,132.347,575.586,1035171,132.347,575.586
Isocortex,Isocortex,315,right,all,833245,123.016,510.694,833245,123.016,510.694
Frontal pole/ cerebral cortex,FRP,184,left,all,8683,112.789,496.738,8683,112.789,496.738
Frontal pole/ cerebral cortex,FRP,184,right,all,6675,109.929,447.41,6675,109.929,447.41
Frontal pole/ layer 1,FRP1,68,left,all,1559,125.706,505.085,1559,125.706,505.085
Frontal pole/ layer 1,FRP1,68,right,all,1375,125.192,451.136,1375,125.192,451.136
Frontal pole/ layer 2/3,FRP2/3,667,left,all,2359,102.927,505.416,2359,102.927,505.416
Frontal pole/ layer 2/3,FRP2/3,667,right,all,1729,100.928,446.669,1729,100.928,446.669
Frontal pole/ layer 5,FRP5,526157192,left,all,3636,115.558,495.666,3636,115.558,495.666
Frontal pole/ layer 5,FRP5,526157192,right,all,2743,112.348,452.413,2743,112.348,452.413
Frontal pole/ layer 6a,FRP6a,526157196,left,all,1127,106.618,470.629,1127,106.618,470.629
Frontal pole/ layer 6a,FRP6a,526157196,right,all,827,95.3591,426.219,827,95.3591,426.219
Frontal pole/ layer 6b,FRP6b,526322264,left,all,2,121.275,415.5,2,121.275,415.5
Frontal pole/ layer 6b,FRP6b,526322264,right,all,1,98.18,403,1,98.18,403
Somatomotor areas,MO,500,left,all,217959,135.451,572.612,217959,135.451,572.612
Somatomotor areas,MO,500,right,all,172182,127.798,521.311,172182,127.798,521.311
Primary motor area,MOp,985,left,all,106539,142.213,600.376,106539,142.213,600.376
Primary motor area,MOp,985,right,all,82381,130.953,534.971,82381,130.953,534.971
Primary motor area/ Layer 1,MOp1,320,left,all,5170,162.138,563.418,5170,162.138,563.418
Primary motor area/ Layer 1,MOp1,320,right,all,4684,124.285,483.406,4684,124.285,483.406
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,36028,131.707,611.07,36028,131.707,611.07
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,26180,122.752,531.209,26180,122.752,531.209
Primary motor area/ Layer 5,MOp5,648,left,all,37085,166.003,635.001,37085,166.003,635.001
Primary motor area/ Layer 5,MOp5,648,right,all,27713,150.356,572.58,27713,150.356,572.58
Primary motor area/ Layer 6a,MOp6a,844,left,all,27243,121.833,549.27,27243,121.833,549.27
Primary motor area/ Layer 6a,MOp6a,844,right,all,23339,119.169,506.819,23339,119.169,506.819
Primary motor area/ Layer 6b,MOp6b,882,left,all,1013,91.3948,515.461,1013,91.3948,515.461
Primary motor area/ Layer 6b,MOp6b,882,right,all,465,94.9643,437.731,465,94.9643,437.731
Secondary motor area,MOs,993,left,all,111420,128.984,546.064,111420,128.984,546.064
Secondary motor area,MOs,993,right,all,89801,124.903,508.779,89801,124.903,508.779
Secondary motor area/ layer 1,MOs1,656,left,all,7845,134.65,507.714,7845,134.65,507.714
Secondary motor area/ layer 1,MOs1,656,right,all,9591,126.407,454.163,9591,126.407,454.163
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,31750,116.27,531.741,31750,116.27,531.741
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,23583,117.363,490.008,23583,117.363,490.008
Secondary motor area/ layer 5,MOs5,767,left,all,47302,143.232,574.781,47302,143.232,574.781
Secondary motor area/ layer 5,MOs5,767,right,all,36599,136.91,542.051,36599,136.91,542.051
Secondary motor area/ layer 6a,MOs6a,1021,left,all,24284,116.282,521.899,24284,116.282,521.899
Secondary motor area/ layer 6a,MOs6a,1021,right,all,19858,111.236,496.586,19858,111.236,496.586
Secondary motor area/ layer 6b,MOs6b,1085,left,all,239,102.735,479.506,239,102.735,479.506
Secondary motor area/ layer 6b,MOs6b,1085,right,all,170,97.4125,455.512,170,97.4125,455.512
Somatosensory areas,SS,453,left,all,322068,135.314,606.847,322068,135.314,606.847
Somatosensory areas,SS,453,right,all,240178,127.703,528.384,240178,127.703,528.384
Primary somatosensory area,SSp,322,left,all,226764,137.599,618.629,226764,137.599,618.629
Primary somatosensory area,SSp,322,right,all,163228,128.278,531.885,163228,128.278,531.885
Primary somatosensory area/ nose,SSp-n,353,left,all,28141,125.146,598.726,28141,125.146,598.726
