Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Outside,,0,left,all,143685,265.045,867.61,143685,265.045,867.61
Outside,,0,right,all,193238,210.993,716.463,193238,210.993,716.463
root,root,997,left,all,4207123,191.715,860.853,4207123,191.715,860.853
root,root,997,right,all,3399928,166.913,759.767,3399928,166.913,759.767
Basic cell groups and regions,grey,8,left,all,3850400,194.713,868.822,3850400,194.713,868.822
Basic cell groups and regions,grey,8,right,all,3086245,169.502,770.046,3086245,169.502,770.046
Cerebrum,CH,567,left,all,2591337,200.558,835.376,2591337,200.558,835.376
Cerebrum,CH,567,right,all,2006997,170.975,726.672,2006997,170.975,726.672
Cerebral cortex,CTX,688,left,all,2175569,212.312,850.92,2175569,212.312,850.92
Cerebral cortex,CTX,688,right,all,1688320,179.876,742.74,1688320,179.876,742.74
Cortical plate,CTXpl,695,left,all,2090249,212.766,852.923,2090249,212.766,852.923
Cortical plate,CTXpl,695,right,all,1630137,180.429,746.047,1630137,180.429,746.047
Isocortex,Isocortex,315,left,all,1399782,215.95,862.948,1399782,215.95,862.948
Isocortex,Isocortex,315,right,all,1059242,179.105,741.873,1059242,179.105,741.873
Frontal pole/ cerebral cortex,FRP,184,left,all,9707,190.201,691.17,9707,190.201,691.17
Frontal pole/ cerebral cortex,FRP,184,right,all,8200,162.093,644.16,8200,162.093,644.16
Frontal pole/ layer 1,FRP1,68,left,all,1670,153.355,526.271,1670,153.355,526.271
Frontal pole/ layer 1,FRP1,68,right,all,1274,127.386,492.748,1274,127.386,492.748
Frontal pole/ layer 2/3,FRP2/3,667,left,all,2937,173.403,676.169,2937,173.403,676.169
Frontal pole/ layer 2/3,FRP2/3,667,right,all,2370,161.32,670.821,2370,161.32,670.821
Frontal pole/ layer 5,FRP5,526157192,left,all,4009,216.805,757.458,4009,216.805,757.458
Frontal pole/ layer 5,FRP5,526157192,right,all,3477,178.362,682.422,3477,178.362,682.422
Frontal pole/ layer 6a,FRP6a,526157196,left,all,1088,194.16,740.597,1088,194.16,740.597
Frontal pole/ layer 6a,FRP6a,526157196,right,all,1074,152.517,641.228,1074,152.517,641.228
Frontal pole/ layer 6b,FRP6b,526322264,left,all,3,158.22,664.333,3,158.22,664.333
Frontal pole/ layer 6b,FRP6b,526322264,right,all,5,116.154,609.8,5,116.154,609.8
Somatomotor areas,MO,500,left,all,265920,246.087,901.495,265920,246.087,901.495
Somatomotor areas,MO,500,right,all,220824,193.245,782.546,220824,193.245,782.546
Primary motor area,MOp,985,left,all,134782,252.101,925.884,134782,252.101,925.884
Primary motor area,MOp,985,right,all,99505,192.054,788.48,99505,192.054,788.48
Primary motor area/ Layer 1,MOp1,320,left,all,9736,226.474,768.838,9736,226.474,768.838
Primary motor area/ Layer 1,MOp1,320,right,all,5975,177.44,691.714,5975,177.44,691.714
