Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Outside,,0,left,all,44252,7571.42,685.145,44252,7571.42,685.145
Outside,,0,right,all,45321,7342.74,611.522,45321,7342.74,611.522
root,root,997,left,all,1783200,7605.81,740.372,1783200,7605.81,740.372
root,root,997,right,all,1260994,7166.72,676.227,1260994,7166.72,676.227
Basic cell groups and regions,grey,8,left,all,1644767,7600.24,736.282,1644767,7600.24,736.282
Basic cell groups and regions,grey,8,right,all,1172811,7158.24,673.676,1172811,7158.24,673.676
Cerebrum,CH,567,left,all,1103676,7160.98,678.997,1103676,7160.98,678.997
Cerebrum,CH,567,right,all,757046,6724.48,610.837,757046,6724.48,610.837
Cerebral cortex,CTX,688,left,all,990393,7298.71,673.481,990393,7298.71,673.481
Cerebral cortex,CTX,688,right,all,688214,6820.8,606.075,688214,6820.8,606.075
Cortical plate,CTXpl,695,left,all,962634,7330.14,672.83,962634,7330.14,672.83
Cortical plate,CTXpl,695,right,all,668703,6849.81,606.132,668703,6849.81,606.132
Isocortex,Isocortex,315,left,all,678082,7043.25,654.812,678082,7043.25,654.812
Isocortex,Isocortex,315,right,all,454666,6665.99,594.056,454666,6665.99,594.056
Frontal pole/ cerebral cortex,FRP,184,left,all,3738,5856.91,554.772,3738,5856.91,554.772
Frontal pole/ cerebral cortex,FRP,184,right,all,4202,5838.31,508.01,4202,5838.31,508.01
Frontal pole/ layer 1,FRP1,68,left,all,412,5991.5,500.85,412,5991.5,500.85
Frontal pole/ layer 1,FRP1,68,right,all,834,5228.65,454.476,834,5228.65,454.476
Frontal pole/ layer 2/3,FRP2/3,667,left,all,795,5103.25,493.808,795,5103.25,493.808
Frontal pole/ layer 2/3,FRP2/3,667,right,all,959,5274.75,448.059,959,5274.75,448.059
Frontal pole/ layer 5,FRP5,526157192,left,all,1804,6307.99,567.686,1804,6307.99,567.686
Frontal pole/ layer 5,FRP5,526157192,right,all,2039,6512.62,552.601,2039,6512.62,552.601
Frontal pole/ layer 6a,FRP6a,526157196,left,all,727,5485.47,619.952,727,5485.47,619.952
Frontal pole/ layer 6a,FRP6a,526157196,right,all,370,4957.21,538.335,370,4957.21,538.335
Frontal pole/ layer 6b,FRP6b,526322264,left,all,0,0,0,0,0,0
Frontal pole/ layer 6b,FRP6b,526322264,right,all,0,0,0,0,0,0
Somatomotor areas,MO,500,left,all,144060,7396.11,668.974,144060,7396.11,668.974
Somatomotor areas,MO,500,right,all,93202,7013.68,608.829,93202,7013.68,608.829
Primary motor area,MOp,985,left,all,73309,7734.04,703.025,73309,7734.04,703.025
Primary motor area,MOp,985,right,all,40635,7239.2,620.935,40635,7239.2,620.935
Primary motor area/ Layer 1,MOp1,320,left,all,4142,7297.56,628.807,4142,7297.56,628.807
Primary motor area/ Layer 1,MOp1,320,right,all,2648,6425.17,578.601,2648,6425.17,578.601
Primary motor area/ Layer 2/3,MOp2/3,943,left,all,24028,6710.66,649.807,24028,6710.66,649.807
Primary motor area/ Layer 2/3,MOp2/3,943,right,all,14705,7005.63,600.081,14705,7005.63,600.081
Primary motor area/ Layer 5,MOp5,648,left,all,30788,9199.39,750.407,30788,9199.39,750.407
Primary motor area/ Layer 5,MOp5,648,right,all,16212,8139.88,656.1,16212,8139.88,656.1
Primary motor area/ Layer 6a,MOp6a,844,left,all,13953,6445.93,710.752,13953,6445.93,710.752
Primary motor area/ Layer 6a,MOp6a,844,right,all,6879,5964.28,598.251,6879,5964.28,598.251
Primary motor area/ Layer 6b,MOp6b,882,left,all,398,5862.71,751.965,398,5862.71,751.965
Primary motor area/ Layer 6b,MOp6b,882,right,all,191,5974.86,645.618,191,5974.86,645.618
Secondary motor area,MOs,993,left,all,70751,7045.97,633.692,70751,7045.97,633.692
Secondary motor area,MOs,993,right,all,52567,6839.34,599.471,52567,6839.34,599.471
Secondary motor area/ layer 1,MOs1,656,left,all,6649,6644.46,590.278,6649,6644.46,590.278
Secondary motor area/ layer 1,MOs1,656,right,all,5730,6311.22,553.501,5730,6311.22,553.501
Secondary motor area/ layer 2/3,MOs2/3,962,left,all,19426,6439.15,585.565,19426,6439.15,585.565
Secondary motor area/ layer 2/3,MOs2/3,962,right,all,15260,6242.52,553.541,15260,6242.52,553.541
Secondary motor area/ layer 5,MOs5,767,left,all,32215,8008.86,667.535,32215,8008.86,667.535
Secondary motor area/ layer 5,MOs5,767,right,all,24101,7652.81,639.052,24101,7652.81,639.052
Secondary motor area/ layer 6a,MOs6a,1021,left,all,12380,5718.89,644.314,12380,5718.89,644.314
Secondary motor area/ layer 6a,MOs6a,1021,right,all,7446,5836.16,600.762,7446,5836.16,600.762
Secondary motor area/ layer 6b,MOs6b,1085,left,all,81,5409.8,656.519,81,5409.8,656.519
Secondary motor area/ layer 6b,MOs6b,1085,right,all,30,6773.54,623.933,30,6773.54,623.933
Somatosensory areas,SS,453,left,all,215439,7429.63,674.921,215439,7429.63,674.921
Somatosensory areas,SS,453,right,all,127314,7212.7,618.882,127314,7212.7,618.882
Primary somatosensory area,SSp,322,left,all,145491,7465.44,681.971,145491,7465.44,681.971
Primary somatosensory area,SSp,322,right,all,86419,7450.75,630.525,86419,7450.75,630.525
Primary somatosensory area/ nose,SSp-n,353,left,all,19014,7619.85,663.04,19014,7619.85,663.04
Primary somatosensory area/ nose,SSp-n,353,right,all,11900,7273.88,614.583,11900,7273.88,614.583
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,left,all,1188,5616.6,512.505,1188,5616.6,512.505
Primary somatosensory area/ nose/ layer 1,SSp-n1,558,right,all,1203,5826.06,515.264,1203,5826.06,515.264
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,left,all,3257,6275.73,611.689,3257,6275.73,611.689
Primary somatosensory area/ nose/ layer 2/3,SSp-n2/3,838,right,all,2110,6907.56,602.133,2110,6907.56,602.133
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,left,all,4699,9981.66,720.034,4699,9981.66,720.034
Primary somatosensory area/ nose/ layer 4,SSp-n4,654,right,all,2859,8514.69,661.043,2859,8514.69,661.043
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,left,all,5368,7929.09,683.832,5368,7929.09,683.832
Primary somatosensory area/ nose/ layer 5,SSp-n5,702,right,all,2962,7883.85,649.361,2962,7883.85,649.361
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,left,all,4273,6314.89,653.177,4273,6314.89,653.177
Primary somatosensory area/ nose/ layer 6a,SSp-n6a,889,right,all,2700,6286.87,582.16,2700,6286.87,582.16
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,left,all,229,5766.32,701.454,229,5766.32,701.454
Primary somatosensory area/ nose/ layer 6b,SSp-n6b,929,right,all,66,4628.79,575.924,66,4628.79,575.924
Primary somatosensory area/ barrel field,SSp-bfd,329,left,all,40826,8074.03,689.88,40826,8074.03,689.88
Primary somatosensory area/ barrel field,SSp-bfd,329,right,all,26226,7840.75,653.463,26226,7840.75,653.463
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,left,all,2955,6587.53,581.504,2955,6587.53,581.504
Primary somatosensory area/ barrel field/ layer 1,SSp-bfd1,981,right,all,2348,6249.49,560.665,2348,6249.49,560.665
Primary somatosensory area/ barrel field/ layer 2/3,SSp-bfd2/3,201,left,all,9007,6662.03,648.219,9007,6662.03,648.219
