Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Outside,,0,left,all,106283,368.977,1106.08,106283,368.977,1106.08
Outside,,0,right,all,180061,361.485,1033.63,180061,361.485,1033.63
root,root,997,left,all,2418347,223.813,898.67,2418347,223.813,898.67
root,root,997,right,all,2036249,212.372,798.575,2036249,212.372,798.575
Basic cell groups and regions,grey,8,left,all,2141750,227.744,906.946,2141750,227.744,906.946
Basic cell groups and regions,grey,8,right,all,1776352,217.019,808.899,1776352,217.019,808.899
Cerebrum,CH,567,left,all,1322912,247.78,896.113,1322912,247.78,896.113
Cerebrum,CH,567,right,all,1016711,230.653,776.658,1016711,230.653,776.658
Cerebral cortex,CTX,688,left,all,1101097,262.784,904.749,1101097,262.784,904.749
Cerebral cortex,CTX,688,right,all,834731,246.357,789.451,834731,246.357,789.451
Cortical plate,CTXpl,695,left,all,1065453,265.381,913.074,1065453,265.381,913.074
Cortical plate,CTXpl,695,right,all,809164,248.596,797.312,809164,248.596,797.312
Isocortex,Isocortex,315,left,all,681585,285.2,970.867,681585,285.2,970.867
Isocortex,Isocortex,315,right,all,484464,271.308,859.139,484464,271.308,859.139
Frontal pole/ cerebral cortex,FRP,184,left,all,4523,225.172,717.309,4523,225.172,717.309
Frontal pole/ cerebral cortex,FRP,184,right,all,4831,215.25,676.207,4831,215.25,676.207
Frontal pole/ layer 1,FRP1,68,left,all,1754,313.114,914.332,1754,313.114,914.332
Frontal pole/ layer 1,FRP1,68,right,all,2210,279.332,838.444,2210,279.332,838.444
Frontal pole/ layer 2/3,FRP2/3,667,left,all,851,157.894,585.679,851,157.894,585.679
Frontal pole/ layer 2/3,FRP2/3,667,right,all,850,148.822,560.313,850,148.822,560.313
Frontal pole/ layer 5,FRP5,526157192,left,all,1506,179.537,588.088,1506,179.537,588.088
Frontal pole/ layer 5,FRP5,526157192,right,all,1475,170.222,528.567,1475,170.222,528.567
Frontal pole/ layer 6a,FRP6a,526157196,left,all,410,156.29,622.385,410,156.29,622.385
Frontal pole/ layer 6a,FRP6a,526157196,right,all,292,152.06,532.223,292,152.06,532.223
Frontal pole/ layer 6b,FRP6b,526322264,left,all,2,209.856,699.5,2,209.856,699.5
