Region,Structure
AAA,Amygdala
ACA,Isocortex
ACB,Striatum
ADP,Hypothalamus
AHN,Hypothalamus
ANcr1,Cerebellum
ANcr2,Cerebellum
AOB,Olfactory
AON,Olfactory
AP,Medulla
APr,Hippocampus
ASO,Hypothalamus
AT,Midbrain
ATN,Thalamus
AUD,Isocortex
AVPV,Hypothalamus
Acs5,Pons
B,Pons
BAC,Pallidum/Septum
BLA,Amygdala
BMA,Amygdala
BST,Pallidum/Septum
CA,Hippocampus
CEA,Amygdala
CENT2,Cerebellum
CENT3,Cerebellum
CLA,Cortical Subplate
CN,Medulla
COA,Olfactory
COPY,Cerebellum
CP,Striatum
CS,Pons
CUN,Midbrain
DCN,Medulla
DEC,Cerebellum
DG,Hippocampus
DMH,Hypothalamus
DMX,Medulla
DN,Cerebellum
DP,Olfactory
DT,Midbrain
DTN,Pons
ECT,Isocortex
ECU,Medulla
ENT,Hippocampus
EP,Cortical Subplate
EPI,Thalamus
EW,Midbrain
FC,Hippocampus
FL,Cerebellum
FN,Cerebellum
FOTU,Cerebellum
FRP,Isocortex
FS,Striatum
GENd,Thalamus
GENv,Thalamus
GPe,Pallidum/Septum
GPi,Pallidum/Septum
GRN,Medulla
GU,Isocortex
HATA,Hippocampus
I5,Pons
IA,Amygdala
IC,Midbrain
ICB,Medulla
IG,Hippocampus
III,Midbrain
ILA,Isocortex
ILM,Thalamus
IP,Cerebellum
IRN,Medulla
ISN,Medulla
IV,Midbrain
LA,Amygdala
LAT,Thalamus
LC,Pons
LDT,Pons
LHA,Hypothalamus
LING,Cerebellum
LPO,Hypothalamus
LS,Pallidum/Septum
LT,Midbrain
MA,Pallidum/Septum
MA3,Midbrain
MBO,Hypothalamus
MDRN,Medulla
MEA,Amygdala
MED,Thalamus
MEPO,Hypothalamus
MEV,Midbrain
MO,Isocortex
MOB,Olfactory
MPN,Hypothalamus
MPO,Hypothalamus
MRN,Midbrain
MS,Pallidum/Septum
MT,Midbrain
MTN,Thalamus
NB,Midbrain
NDB,Pallidum/Septum
NI,Pons
NLL,Pons
NOD,Cerebellum
NTS,Medulla
ORB,Isocortex
OT,Striatum
P5,Pons
PA,Amygdala
PAA,Olfactory
PAG,Midbrain
PAR,Hippocampus
PARN,Medulla
PAS,Medulla
PB,Pons
PBG,Midbrain
PC5,Pons
PCG,Pons
PD,Hypothalamus
PDTg,Pons
PERI,Isocortex
PFL,Cerebellum
PGRN,Medulla
PH,Hypothalamus
PHY,Medulla
PIR,Olfactory
PL,Isocortex
PMd,Hypothalamus
PN,Midbrain
POST,Hippocampus
PP,Thalamus
PPN,Midbrain
PRE,Hippocampus
PRM,Cerebellum
PRNc,Pons
PRNr,Pons
PRT,Midbrain
PS,Hypothalamus
PST,Hypothalamus
PSTN,Hypothalamus
PSV,Pons
PTLp,Isocortex
PVH,Hypothalamus
PVHd,Hypothalamus
PVa,Hypothalamus
PVi,Hypothalamus
PVpo,Hypothalamus
PYR,Cerebellum
Pa4,Midbrain
Pa5,Medulla
PeF,Hypothalamus
ProS,Hippocampus
RAmb,Midbrain
RN,Midbrain
RPO,Pons
RR,Midbrain
RSP,Isocortex
RT,Thalamus
SAG,Midbrain
SBPV,Hypothalamus
SCm,Midbrain
SCs,Midbrain
SF,Pallidum/Septum
SFO,Hypothalamus
SG,Pons
SH,Pallidum/Septum
SI,Pallidum/Septum
SIM,Cerebellum
SLC,Pons
SLD,Pons
SNc,Midbrain
SNr,Midbrain
SPA,Thalamus
SPF,Thalamus
SPVC,Medulla
SPVI,Medulla
SPVO,Medulla
SS,Isocortex
STN,Hypothalamus
SUB,Hippocampus
SUT,Pons
TEa,Isocortex
TR,Olfactory
TRS,Pallidum/Septum
TT,Olfactory
UVU,Cerebellum
V,Pons
VENT,Thalamus
VI,Medulla
VIS,Isocortex
VISC,Isocortex
VNC,Medulla
VTA,Midbrain
VTN,Midbrain
VeCB,Cerebellum
XII,Medulla
ZI,Hypothalamus
x,Medulla
y,Medulla
